2026-09-20T11:15:49+00:00 watchdog v2 start pid 548300 guarding pid 548280 (sclk guard 1; DC envelope guard: >= 1228 W once or >= 1200 W twice, from /root/night-20260919/stall-smc.log)
2026-09-20T11:19:04+00:00 card0:1730MHz/100%/0 card1:1204MHz/100%/0 card2:1204MHz/100%/0 card3:1204MHz/100%/0 DC:354W
2026-09-20T11:19:10+00:00 card0:1204MHz/100%/0 card1:1204MHz/100%/0 card2:1674MHz/100%/0 card3:1730MHz/100%/0 DC:739W
2026-09-20T11:19:15+00:00 card0:1674MHz/100%/0 card1:1730MHz/100%/0 card2:1204MHz/100%/0 card3:1204MHz/100%/0 DC:740W
2026-09-20T11:19:20+00:00 card0:1204MHz/100%/0 card1:1608MHz/100%/0 card2:1540MHz/100%/0 card3:1540MHz/100%/0 DC:667W
2026-09-20T11:19:25+00:00 card0:1730MHz/100%/0 card1:1336MHz/100%/0 card2:1204MHz/100%/0 card3:1204MHz/100%/0 DC:693W
2026-09-20T11:19:30+00:00 card0:1445MHz/100%/0 card1:1336MHz/100%/0 card2:1730MHz/100%/0 card3:1336MHz/100%/0 DC:742W
2026-09-20T11:19:35+00:00 card0:1730MHz/100%/0 card1:1204MHz/100%/0 card2:1204MHz/100%/0 card3:1204MHz/100%/0 DC:669W
2026-09-20T11:19:40+00:00 card0:1336MHz/100%/0 card1:1336MHz/100%/0 card2:1336MHz/100%/0 card3:1336MHz/100%/0 DC:739W
2026-09-20T11:19:45+00:00 card0:1730MHz/100%/0 card1:1204MHz/100%/0 card2:1204MHz/100%/0 card3:1204MHz/100%/0 DC:742W
2026-09-20T11:19:50+00:00 card0:1540MHz/98%/0 card1:1540MHz/99%/0 card2:1540MHz/99%/0 card3:1540MHz/99%/0 DC:739W
2026-09-20T11:19:55+00:00 card0:1540MHz/99%/0 card1:1540MHz/99%/0 card2:1540MHz/99%/0 card3:1540MHz/99%/0 DC:771W
2026-09-20T11:20:00+00:00 card0:1540MHz/99%/0 card1:1540MHz/77%/0 card2:1608MHz/98%/0 card3:1540MHz/99%/0 DC:711W
2026-09-20T11:20:05+00:00 card0:1540MHz/99%/0 card1:1540MHz/88%/0 card2:1540MHz/99%/0 card3:1540MHz/99%/0 DC:772W
2026-09-20T11:20:10+00:00 card0:1540MHz/87%/0 card1:1445MHz/99%/0 card2:1540MHz/99%/0 card3:1540MHz/99%/0 DC:772W
2026-09-20T11:20:15+00:00 card0:1730MHz/0%/0 card1:1730MHz/0%/0 card2:1730MHz/0%/0 card3:1730MHz/0%/0 DC:772W
2026-09-20T11:20:20+00:00 card0:1000MHz/0%/0 card1:1000MHz/49%/1 card2:1730MHz/58%/0 card3:1000MHz/4%/0 DC:353W
2026-09-20T11:20:25+00:00 card0:1730MHz/100%/0 card1:1336MHz/100%/0 card2:1336MHz/100%/0 card3:1730MHz/100%/0 DC:356W
2026-09-20T11:20:30+00:00 card0:1336MHz/100%/0 card1:1540MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:692W
2026-09-20T11:20:35+00:00 card0:1204MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1336MHz/100%/0 DC:693W
2026-09-20T11:20:40+00:00 card0:1336MHz/100%/0 card1:1336MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:689W
2026-09-20T11:20:45+00:00 card0:1445MHz/100%/0 card1:1608MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:684W
2026-09-20T11:20:50+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1608MHz/100%/0 card3:1445MHz/100%/0 DC:620W
2026-09-20T11:20:55+00:00 card0:1204MHz/100%/0 card1:1204MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:681W
2026-09-20T11:21:00+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1540MHz/100%/0 DC:687W
2026-09-20T11:21:05+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1336MHz/100%/0 card3:1608MHz/100%/0 DC:611W
2026-09-20T11:21:10+00:00 card0:1336MHz/100%/0 card1:1204MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:701W
2026-09-20T11:21:15+00:00 card0:1204MHz/100%/0 card1:1204MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:705W
2026-09-20T11:21:20+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1336MHz/100%/0 DC:700W
2026-09-20T11:21:25+00:00 card0:1540MHz/99%/0 card1:1445MHz/99%/0 card2:1608MHz/79%/0 card3:1608MHz/99%/0 DC:703W
2026-09-20T11:21:30+00:00 card0:1540MHz/99%/0 card1:1540MHz/99%/0 card2:1540MHz/99%/0 card3:1608MHz/86%/0 DC:771W
2026-09-20T11:21:35+00:00 card0:1540MHz/96%/0 card1:1540MHz/99%/0 card2:1540MHz/99%/0 card3:1540MHz/99%/0 DC:771W
2026-09-20T11:21:40+00:00 card0:1540MHz/99%/0 card1:1445MHz/99%/0 card2:1608MHz/94%/0 card3:1608MHz/99%/0 DC:684W
2026-09-20T11:21:45+00:00 card0:1540MHz/99%/0 card1:1540MHz/78%/0 card2:1608MHz/98%/0 card3:1540MHz/99%/0 DC:772W
2026-09-20T11:21:50+00:00 card0:1000MHz/4%/0 card1:1000MHz/0%/0 card2:1730MHz/2%/0 card3:1730MHz/0%/0 DC:771W
2026-09-20T11:21:55+00:00 card0:1000MHz/1%/0 card1:1000MHz/1%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:339W
2026-09-20T11:22:00+00:00 card0:1336MHz/100%/0 card1:1204MHz/100%/0 card2:1204MHz/100%/0 card3:1674MHz/100%/0 DC:355W
2026-09-20T11:22:05+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1608MHz/100%/0 DC:689W
2026-09-20T11:22:10+00:00 card0:1445MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:686W
2026-09-20T11:22:15+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1336MHz/100%/0 card3:1204MHz/100%/0 DC:688W
2026-09-20T11:22:20+00:00 card0:1204MHz/100%/0 card1:1000MHz/100%/1 card2:1608MHz/100%/0 card3:1730MHz/100%/0 DC:613W
2026-09-20T11:22:25+00:00 card0:1730MHz/100%/0 card1:1336MHz/100%/0 card2:1540MHz/100%/0 card3:1336MHz/100%/0 DC:681W
2026-09-20T11:22:30+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:689W
2026-09-20T11:22:35+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1336MHz/100%/0 DC:612W
2026-09-20T11:22:41+00:00 card0:1336MHz/100%/0 card1:1204MHz/100%/0 card2:1336MHz/100%/0 card3:1730MHz/100%/0 DC:701W
2026-09-20T11:22:46+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1336MHz/100%/0 DC:703W
2026-09-20T11:22:51+00:00 card0:1445MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:702W
2026-09-20T11:22:56+00:00 card0:1445MHz/100%/0 card1:1204MHz/100%/0 card2:1336MHz/100%/0 card3:1336MHz/100%/0 DC:703W
2026-09-20T11:23:01+00:00 card0:1540MHz/99%/0 card1:1540MHz/99%/0 card2:1608MHz/99%/0 card3:1540MHz/99%/0 DC:704W
2026-09-20T11:23:06+00:00 card0:1540MHz/99%/0 card1:1540MHz/99%/0 card2:1608MHz/81%/0 card3:1540MHz/98%/0 DC:771W
2026-09-20T11:23:11+00:00 card0:1540MHz/99%/0 card1:1445MHz/99%/0 card2:1540MHz/99%/0 card3:1540MHz/99%/0 DC:772W
2026-09-20T11:23:16+00:00 card0:1540MHz/99%/0 card1:1445MHz/99%/0 card2:1540MHz/99%/0 card3:1608MHz/91%/0 DC:722W
2026-09-20T11:23:21+00:00 card0:1540MHz/96%/0 card1:1445MHz/99%/0 card2:1540MHz/99%/0 card3:1540MHz/99%/0 DC:771W
2026-09-20T11:23:26+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/4%/0 card3:1730MHz/0%/0 DC:771W
2026-09-20T11:23:31+00:00 card0:1000MHz/77%/1 card1:1000MHz/44%/1 card2:1000MHz/38%/1 card3:1000MHz/32%/1 DC:342W
2026-09-20T11:23:36+00:00 card0:1730MHz/100%/0 card1:1204MHz/100%/0 card2:1204MHz/100%/0 card3:1204MHz/100%/0 DC:354W
2026-09-20T11:23:41+00:00 card0:1674MHz/100%/0 card1:1445MHz/100%/0 card2:1445MHz/100%/0 card3:1336MHz/100%/0 DC:733W
2026-09-20T11:23:46+00:00 card0:1730MHz/100%/0 card1:1445MHz/100%/0 card2:1204MHz/100%/0 card3:1204MHz/100%/0 DC:656W
2026-09-20T11:23:51+00:00 card0:1730MHz/100%/0 card1:1336MHz/100%/0 card2:1540MHz/100%/0 card3:1336MHz/100%/0 DC:678W
2026-09-20T11:23:56+00:00 card0:1540MHz/100%/0 card1:1730MHz/100%/0 card2:1204MHz/100%/0 card3:1204MHz/100%/0 DC:739W
2026-09-20T11:24:01+00:00 card0:1730MHz/100%/0 card1:1204MHz/100%/0 card2:1204MHz/100%/0 card3:1204MHz/100%/0 DC:742W
2026-09-20T11:24:06+00:00 card0:1608MHz/100%/0 card1:1336MHz/100%/0 card2:1336MHz/100%/0 card3:1336MHz/100%/0 DC:647W
2026-09-20T11:24:11+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1204MHz/100%/0 card3:1204MHz/100%/0 DC:737W
2026-09-20T11:24:16+00:00 card0:1730MHz/100%/0 card1:1445MHz/100%/0 card2:1445MHz/100%/0 card3:1730MHz/100%/0 DC:737W
2026-09-20T11:24:21+00:00 card0:1540MHz/99%/0 card1:1445MHz/99%/0 card2:1540MHz/99%/0 card3:1608MHz/75%/0 DC:741W
2026-09-20T11:24:26+00:00 card0:1445MHz/99%/0 card1:1540MHz/99%/0 card2:1608MHz/85%/0 card3:1540MHz/99%/0 DC:769W
2026-09-20T11:24:31+00:00 card0:1540MHz/99%/0 card1:1445MHz/99%/0 card2:1540MHz/89%/0 card3:1540MHz/99%/0 DC:742W
2026-09-20T11:24:36+00:00 card0:1540MHz/96%/0 card1:1445MHz/99%/0 card2:1540MHz/99%/0 card3:1540MHz/99%/0 DC:771W
2026-09-20T11:24:41+00:00 card0:1540MHz/99%/0 card1:1445MHz/99%/0 card2:1608MHz/89%/0 card3:1540MHz/99%/0 DC:770W
2026-09-20T11:24:46+00:00 card0:1730MHz/14%/0 card1:1730MHz/15%/0 card2:1730MHz/7%/0 card3:1000MHz/2%/0 DC:770W
2026-09-20T11:24:51+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/67%/1 card3:1000MHz/33%/1 DC:356W
2026-09-20T11:24:56+00:00 card0:1445MHz/100%/0 card1:1730MHz/100%/0 card2:1204MHz/100%/0 card3:1204MHz/100%/0 DC:355W
2026-09-20T11:25:01+00:00 card0:1730MHz/100%/0 card1:1445MHz/100%/0 card2:1445MHz/100%/0 card3:1336MHz/100%/0 DC:732W
2026-09-20T11:25:06+00:00 card0:1204MHz/100%/0 card1:1730MHz/100%/0 card2:1336MHz/100%/0 card3:1336MHz/100%/0 DC:739W
2026-09-20T11:25:11+00:00 card0:1540MHz/100%/0 card1:1204MHz/100%/0 card2:1204MHz/100%/0 card3:1204MHz/100%/0 DC:704W
2026-09-20T11:25:16+00:00 card0:1730MHz/100%/0 card1:1336MHz/100%/0 card2:1540MHz/100%/0 card3:1540MHz/100%/0 DC:664W
2026-09-20T11:25:21+00:00 card0:1336MHz/100%/0 card1:1204MHz/100%/0 card2:1336MHz/100%/0 card3:1336MHz/100%/0 DC:742W
2026-09-20T11:25:26+00:00 card0:1608MHz/100%/0 card1:1540MHz/100%/0 card2:1730MHz/100%/0 card3:1204MHz/100%/0 DC:741W
2026-09-20T11:25:31+00:00 card0:1336MHz/100%/0 card1:1445MHz/100%/0 card2:1336MHz/100%/0 card3:1730MHz/100%/0 DC:655W
2026-09-20T11:25:36+00:00 card0:1204MHz/100%/0 card1:1204MHz/100%/0 card2:1204MHz/100%/0 card3:1730MHz/100%/0 DC:737W
2026-09-20T11:25:41+00:00 card0:1204MHz/100%/0 card1:1204MHz/100%/0 card2:1204MHz/100%/0 card3:1204MHz/100%/0 DC:739W
2026-09-20T11:25:46+00:00 card0:1540MHz/99%/0 card1:1445MHz/99%/0 card2:1540MHz/99%/0 card3:1540MHz/99%/0 DC:744W
2026-09-20T11:25:51+00:00 card0:1540MHz/100%/0 card1:1540MHz/98%/0 card2:1540MHz/99%/0 card3:1540MHz/99%/0 DC:770W
2026-09-20T11:25:56+00:00 card0:1445MHz/99%/0 card1:1540MHz/92%/0 card2:1540MHz/98%/0 card3:1540MHz/99%/0 DC:768W
