Rsu	1	39.58	546.38	25.869
RoursSU	1	40.16	702.57	25.496
RoursSU	2	40.16	701.59	25.498
Rsu	2	39.77	547.80	25.748
Rsu	3	39.77	549.15	25.748
RoursSU	3	40.23	698.96	25.454
RoursSU	4	40.32	702.50	25.399
Rsu	4	39.96	552.68	25.627
Rsu	5	39.96	551.55	25.624
RoursSU	5	40.28	715.90	25.425
RoursSU	6	40.20	722.26	25.475
Rsu	6	39.91	558.24	25.658
Rsu	7	39.91	559.42	25.655
RoursSU	7	40.28	722.79	25.420
RoursSU	8	40.34	724.60	25.382
Rsu	8	39.91	558.61	25.660
Rsu	9	39.95	567.41	25.630
RoursSU	9	40.27	726.10	25.426
RoursSU	10	40.31	726.47	25.402
Rsu	10	39.84	562.90	25.700
Rsu	11	39.95	568.02	25.630
RoursSU	11	40.26	726.50	25.433
RoursSU	12	40.28	726.38	25.422
Rsu	12	39.94	559.26	25.635
