2026-09-20T07:46:42+00:00 watchdog v2 start pid 317059 guarding ^/bin/bash /root/night-20260919/cmp-terms[.]sh (sclk guard 1; DC envelope guard: >= 1228 W once or >= 1200 W twice, from /root/night-20260919/cmp-smc.log)
2026-09-20T07:49:59+00:00 card0:1336MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:692W
2026-09-20T07:50:04+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1336MHz/100%/0 card3:1336MHz/100%/0 DC:697W
2026-09-20T07:50:09+00:00 card0:1730MHz/100%/0 card1:1445MHz/100%/0 card2:1445MHz/100%/0 card3:1730MHz/100%/0 DC:696W
2026-09-20T07:50:14+00:00 card0:1445MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:704W
2026-09-20T07:50:19+00:00 card0:1204MHz/100%/0 card1:1204MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:699W
2026-09-20T07:50:24+00:00 card0:1730MHz/100%/0 card1:1336MHz/100%/0 card2:1336MHz/100%/0 card3:1336MHz/100%/0 DC:703W
2026-09-20T07:50:29+00:00 card0:1730MHz/100%/0 card1:1445MHz/100%/0 card2:1540MHz/100%/0 card3:1336MHz/100%/0 DC:706W
2026-09-20T07:50:34+00:00 card0:1445MHz/100%/0 card1:1445MHz/100%/0 card2:1540MHz/100%/0 card3:1730MHz/100%/0 DC:706W
2026-09-20T07:50:39+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:707W
2026-09-20T07:50:44+00:00 card0:1445MHz/100%/0 card1:1540MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:707W
2026-09-20T07:50:49+00:00 card0:1445MHz/99%/0 card1:1445MHz/100%/0 card2:1540MHz/100%/0 card3:1540MHz/100%/0 DC:771W
2026-09-20T07:50:54+00:00 card0:1540MHz/100%/0 card1:1445MHz/100%/0 card2:1540MHz/100%/0 card3:1540MHz/100%/0 DC:768W
2026-09-20T07:50:59+00:00 card0:1540MHz/100%/0 card1:1445MHz/100%/0 card2:1540MHz/100%/0 card3:1540MHz/100%/0 DC:768W
2026-09-20T07:51:04+00:00 card0:1445MHz/100%/0 card1:1445MHz/100%/0 card2:1540MHz/78%/0 card3:1540MHz/98%/0 DC:768W
2026-09-20T07:51:09+00:00 card0:1445MHz/100%/0 card1:1445MHz/94%/0 card2:1540MHz/99%/0 card3:1540MHz/99%/0 DC:768W
2026-09-20T07:51:14+00:00 card0:1540MHz/63%/0 card1:1445MHz/98%/0 card2:1540MHz/99%/0 card3:1540MHz/99%/0 DC:769W
2026-09-20T07:51:20+00:00 card0:1445MHz/99%/0 card1:1445MHz/99%/0 card2:1445MHz/99%/0 card3:1540MHz/99%/0 DC:769W
2026-09-20T07:51:25+00:00 card0:1674MHz/99%/0 card1:1540MHz/100%/0 card2:1608MHz/100%/0 card3:1608MHz/100%/0 DC:769W
2026-09-20T07:51:30+00:00 card0:1445MHz/100%/0 card1:1445MHz/100%/0 card2:1540MHz/100%/0 card3:1540MHz/100%/0 DC:769W
2026-09-20T07:51:35+00:00 card0:1540MHz/100%/0 card1:1445MHz/100%/0 card2:1540MHz/100%/0 card3:1608MHz/59%/0 DC:768W
2026-09-20T07:51:40+00:00 card0:1000MHz/0%/0 card1:1730MHz/0%/0 card2:1000MHz/21%/0 card3:1000MHz/1%/0 DC:352W
2026-09-20T07:51:45+00:00 card0:1730MHz/100%/0 card1:1336MHz/100%/0 card2:1204MHz/100%/0 card3:1204MHz/100%/0 DC:352W
2026-09-20T07:51:50+00:00 card0:1730MHz/100%/0 card1:1204MHz/100%/0 card2:1204MHz/100%/0 card3:1204MHz/100%/0 DC:738W
2026-09-20T07:51:55+00:00 card0:1730MHz/100%/0 card1:1336MHz/100%/0 card2:1445MHz/100%/0 card3:1608MHz/100%/0 DC:740W
2026-09-20T07:52:00+00:00 card0:1204MHz/100%/0 card1:1204MHz/100%/0 card2:1730MHz/100%/0 card3:1445MHz/100%/0 DC:743W
2026-09-20T07:52:05+00:00 card0:1204MHz/100%/0 card1:1204MHz/100%/0 card2:1204MHz/100%/0 card3:1445MHz/100%/0 DC:743W
2026-09-20T07:52:10+00:00 card0:1336MHz/100%/0 card1:1336MHz/100%/0 card2:1336MHz/100%/0 card3:1336MHz/100%/0 DC:741W
2026-09-20T07:52:15+00:00 card0:1336MHz/100%/0 card1:1336MHz/100%/0 card2:1336MHz/100%/0 card3:1204MHz/100%/0 DC:719W
2026-09-20T07:52:20+00:00 card0:1730MHz/100%/0 card1:1204MHz/100%/0 card2:1204MHz/100%/0 card3:1204MHz/100%/0 DC:740W
2026-09-20T07:52:25+00:00 card0:1204MHz/100%/0 card1:1730MHz/100%/0 card2:1336MHz/100%/0 card3:1540MHz/100%/0 DC:742W
2026-09-20T07:52:30+00:00 card0:1730MHz/100%/0 card1:1204MHz/100%/0 card2:1204MHz/100%/0 card3:1204MHz/100%/0 DC:706W
2026-09-20T07:52:35+00:00 card0:1445MHz/100%/0 card1:1445MHz/100%/0 card2:1674MHz/100%/0 card3:1730MHz/100%/0 DC:734W
2026-09-20T07:52:40+00:00 card0:1204MHz/100%/0 card1:1204MHz/100%/0 card2:1204MHz/100%/0 card3:1730MHz/100%/0 DC:735W
2026-09-20T07:52:45+00:00 card0:1336MHz/100%/0 card1:1204MHz/100%/0 card2:1204MHz/100%/0 card3:1445MHz/100%/0 DC:737W
2026-09-20T07:52:50+00:00 card0:1204MHz/100%/0 card1:1336MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:738W
2026-09-20T07:52:55+00:00 card0:1730MHz/100%/0 card1:1608MHz/100%/0 card2:1540MHz/100%/0 card3:1445MHz/100%/0 DC:738W
2026-09-20T07:53:00+00:00 card0:1204MHz/100%/0 card1:1204MHz/100%/0 card2:1204MHz/100%/0 card3:1540MHz/100%/0 DC:734W
2026-09-20T07:53:05+00:00 card0:1204MHz/100%/0 card1:1204MHz/100%/0 card2:1204MHz/100%/0 card3:1730MHz/100%/0 DC:739W
2026-09-20T07:53:11+00:00 card0:1730MHz/100%/0 card1:1336MHz/100%/0 card2:1540MHz/100%/0 card3:1336MHz/100%/0 DC:745W
2026-09-20T07:53:16+00:00 card0:1204MHz/100%/0 card1:1204MHz/100%/0 card2:1608MHz/100%/0 card3:1730MHz/100%/0 DC:734W
2026-09-20T07:53:21+00:00 card0:1730MHz/100%/0 card1:1445MHz/100%/0 card2:1445MHz/100%/0 card3:1336MHz/100%/0 DC:734W
2026-09-20T07:53:26+00:00 card0:1445MHz/100%/0 card1:1204MHz/100%/0 card2:1730MHz/100%/0 card3:1336MHz/100%/0 DC:733W
2026-09-20T07:53:31+00:00 card0:1204MHz/100%/0 card1:1204MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:737W
2026-09-20T07:53:36+00:00 card0:1445MHz/100%/0 card1:1204MHz/100%/0 card2:1730MHz/100%/0 card3:1445MHz/100%/0 DC:737W
2026-09-20T07:53:41+00:00 card0:1336MHz/100%/0 card1:1336MHz/100%/0 card2:1204MHz/100%/0 card3:1204MHz/100%/0 DC:738W
2026-09-20T07:53:46+00:00 card0:1204MHz/100%/0 card1:1730MHz/100%/0 card2:1336MHz/100%/0 card3:1540MHz/100%/0 DC:738W
2026-09-20T07:53:51+00:00 card0:1730MHz/100%/0 card1:1204MHz/100%/0 card2:1204MHz/100%/0 card3:1204MHz/100%/0 DC:739W
2026-09-20T07:53:56+00:00 card0:1204MHz/100%/0 card1:1336MHz/100%/0 card2:1730MHz/100%/0 card3:1336MHz/100%/0 DC:743W
2026-09-20T07:54:01+00:00 card0:1204MHz/100%/0 card1:1204MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:743W
2026-09-20T07:54:06+00:00 card0:1204MHz/100%/0 card1:1204MHz/100%/0 card2:1445MHz/100%/0 card3:1730MHz/100%/0 DC:730W
2026-09-20T07:54:11+00:00 card0:1204MHz/100%/0 card1:1000MHz/100%/1 card2:1204MHz/100%/0 card3:1608MHz/100%/0 DC:733W
2026-09-20T07:54:16+00:00 card0:1204MHz/100%/0 card1:1204MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:736W
2026-09-20T07:54:21+00:00 card0:1204MHz/100%/0 card1:1730MHz/100%/0 card2:1204MHz/100%/0 card3:1445MHz/100%/0 DC:737W
2026-09-20T07:54:26+00:00 card0:1204MHz/100%/0 card1:1204MHz/100%/0 card2:1730MHz/100%/0 card3:1336MHz/100%/0 DC:737W
2026-09-20T07:54:31+00:00 card0:1445MHz/100%/0 card1:1730MHz/100%/0 card2:1336MHz/100%/0 card3:1336MHz/100%/0 DC:737W
2026-09-20T07:54:36+00:00 card0:1540MHz/100%/0 card1:1730MHz/100%/0 card2:1204MHz/100%/0 card3:1204MHz/100%/0 DC:736W
