2026-09-20T12:31:48+00:00 watchdog v2 start pid 587735 guarding pid 587690 (sclk guard 1; DC envelope guard: >= 1228 W once or >= 1200 W twice, from /root/night-20260919/d1-smc.log)
2026-09-20T12:35:04+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1445MHz/100%/0 card3:1540MHz/100%/0 DC:706W
2026-09-20T12:35:09+00:00 card0:1336MHz/100%/0 card1:1204MHz/100%/0 card2:1336MHz/100%/0 card3:1336MHz/100%/0 DC:713W
2026-09-20T12:35:14+00:00 card0:1336MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1336MHz/100%/0 DC:707W
2026-09-20T12:35:19+00:00 card0:1336MHz/100%/0 card1:1204MHz/100%/0 card2:1204MHz/100%/0 card3:1336MHz/100%/0 DC:713W
2026-09-20T12:35:24+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1445MHz/100%/0 DC:716W
2026-09-20T12:35:29+00:00 card0:1204MHz/100%/0 card1:1204MHz/100%/0 card2:1445MHz/100%/0 card3:1730MHz/100%/0 DC:715W
2026-09-20T12:35:34+00:00 card0:1204MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:714W
2026-09-20T12:35:39+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1674MHz/100%/0 card3:1336MHz/100%/0 DC:702W
2026-09-20T12:35:44+00:00 card0:1674MHz/100%/0 card1:1445MHz/100%/0 card2:1540MHz/100%/0 card3:1608MHz/100%/0 DC:715W
2026-09-20T12:35:49+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1540MHz/100%/0 DC:719W
2026-09-20T12:35:54+00:00 card0:1204MHz/100%/0 card1:1204MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:719W
2026-09-20T12:35:59+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:721W
2026-09-20T12:36:04+00:00 card0:1204MHz/100%/0 card1:1204MHz/100%/0 card2:1204MHz/100%/0 card3:1336MHz/100%/0 DC:714W
2026-09-20T12:36:09+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1204MHz/100%/0 card3:1204MHz/100%/0 DC:710W
2026-09-20T12:36:14+00:00 card0:1445MHz/100%/0 card1:1204MHz/100%/0 card2:1336MHz/100%/0 card3:1204MHz/100%/0 DC:705W
2026-09-20T12:36:19+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1336MHz/100%/0 DC:708W
2026-09-20T12:36:24+00:00 card0:1674MHz/100%/0 card1:1336MHz/100%/0 card2:1445MHz/100%/0 card3:1730MHz/100%/0 DC:682W
2026-09-20T12:36:30+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1336MHz/100%/0 DC:690W
2026-09-20T12:36:35+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1204MHz/100%/0 DC:694W
2026-09-20T12:36:40+00:00 card0:1608MHz/100%/0 card1:1204MHz/100%/0 card2:1336MHz/100%/0 card3:1336MHz/100%/0 DC:697W
2026-09-20T12:36:45+00:00 card0:1204MHz/100%/0 card1:1204MHz/100%/0 card2:1204MHz/100%/0 card3:1730MHz/100%/0 DC:696W
2026-09-20T12:36:50+00:00 card0:1204MHz/100%/0 card1:1204MHz/100%/0 card2:1336MHz/100%/0 card3:1730MHz/100%/0 DC:700W
2026-09-20T12:36:55+00:00 card0:1204MHz/100%/0 card1:1608MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:703W
2026-09-20T12:37:00+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1445MHz/100%/0 card3:1608MHz/100%/0 DC:704W
2026-09-20T12:37:05+00:00 card0:1204MHz/100%/0 card1:1204MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:711W
