q8_0-q8_0	4x64K	1	15.879169	750.4580
q8_0-q5_1	4x64K	1	15.695170	751.5144
q8_0-q5_0	4x64K	1	15.121980	751.4110
q8_0-q4_1	4x64K	1	16.810861	751.7924
q8_0-q4_0	4x64K	1	16.576017	750.5741
f16-f16	4x64K	1	20.227160	751.1397
q4_0-q4_0	4x64K	1	19.223549	750.1488
q8_0-q8_0	1x254K	1	18.606003	395.4384
q8_0-q5_1	1x254K	1	18.879752	395.3581
q8_0-q5_0	1x254K	1	17.995853	395.1623
q8_0-q4_1	1x254K	1	20.902225	395.3515
q8_0-q4_0	1x254K	1	20.127369	395.0450
f16-f16	1x254K	1	25.918801	395.6459
q4_0-q4_0	1x254K	1	23.799563	395.1868
q8_0-q8_0	8x32K	1	11.876044	888.2775
q8_0-q5_1	8x32K	1	11.375755	888.0277
q8_0-q5_0	8x32K	1	10.974172	888.2925
q8_0-q4_1	8x32K	1	12.176705	889.3442
q8_0-q4_0	8x32K	1	11.814249	888.7563
f16-f16	8x32K	1	14.147359	889.4227
q4_0-q4_0	8x32K	1	13.358555	888.0337
q8_0-q8_0	4x64K	2	15.880647	750.8858
q8_0-q5_1	4x64K	2	15.680510	750.6450
q8_0-q5_0	4x64K	2	15.121310	750.9697
q8_0-q4_1	4x64K	2	16.828266	750.6321
q8_0-q4_0	4x64K	2	16.592132	750.9224
f16-f16	4x64K	2	20.274016	752.2390
q4_0-q4_0	4x64K	2	19.238356	751.5209
q8_0-q8_0	1x254K	2	18.594516	395.3018
q8_0-q5_1	1x254K	2	18.895081	395.1479
q8_0-q5_0	1x254K	2	18.008195	395.2479
q8_0-q4_1	1x254K	2	20.931706	395.4186
q8_0-q4_0	1x254K	2	20.128951	395.2383
f16-f16	1x254K	2	25.879499	395.6951
q4_0-q4_0	1x254K	2	23.751537	394.5789
q8_0-q8_0	8x32K	2	11.904762	887.3994
q8_0-q5_1	8x32K	2	11.372344	887.0241
q8_0-q5_0	8x32K	2	10.954566	887.0571
q8_0-q4_1	8x32K	2	12.139893	887.6037
q8_0-q4_0	8x32K	2	11.802130	887.7480
f16-f16	8x32K	2	14.103323	888.5575
q4_0-q4_0	8x32K	2	13.315822	887.0751
