B	4x32K	1	16.9500	586.35
B	4x64K	1	13.1950	522.96
B	4x32K	2	16.9250	586.37
B	4x64K	2	13.1625	522.65
B	4x32K	3	16.9425	586.66
B	4x64K	3	13.1775	522.91
B	4x32K	4	16.9625	586.74
B	4x64K	4	13.1875	522.94
Bsu	1x32K	1	30.0600	586.19
Rsu	1x32K	1	39.9100	559.88
RoursSU	1x32K	1	40.1800	724.35
Rsu	1x32K	2	39.8700	552.23
RoursSU	1x32K	2	40.1900	709.83
Bsu	1x32K	2	30.0000	587.10
RoursSU	1x32K	3	40.2200	726.20
Bsu	1x32K	3	30.0800	586.99
Rsu	1x32K	3	39.8400	552.87
Bsu	1x32K	4	30.1200	587.06
Rsu	1x32K	4	39.5600	564.42
RoursSU	1x32K	4	37.7400	722.22
