08:48:22  0b:1730Mhz/110W  0e:1730Mhz/127W  1b:1730Mhz/121W  1e:1730Mhz/121W
08:48:28  0b:1730Mhz/139W  0e:1730Mhz/121W  1b:1730Mhz/143W  1e:1730Mhz/105W
08:48:33  0b:1730Mhz/141W  0e:1730Mhz/118W  1b:1730Mhz/145W  1e:1730Mhz/107W
08:48:38  0b:1730Mhz/125W  0e:1730Mhz/157W  1b:1730Mhz/108W  1e:1730Mhz/131W
08:48:43  0b:1730Mhz/192W  0e:1730Mhz/205W  1b:1730Mhz/199W  1e:1730Mhz/167W
08:48:48  0b:1730Mhz/191W  0e:1730Mhz/199W  1b:1730Mhz/179W  1e:1730Mhz/165W
08:48:53  0b:1730Mhz/194W  0e:1730Mhz/197W  1b:1730Mhz/186W  1e:1730Mhz/186W
08:48:58  0b:1730Mhz/194W  0e:1730Mhz/200W  1b:1730Mhz/197W  1e:1730Mhz/190W
08:49:03  0b:1730Mhz/156W  0e:1730Mhz/152W  1b:1730Mhz/128W  1e:1730Mhz/129W
08:49:08  0b:1730Mhz/123W  0e:1730Mhz/149W  1b:1730Mhz/109W  1e:1730Mhz/120W
08:49:13  0b:1730Mhz/132W  0e:1730Mhz/147W  1b:1730Mhz/135W  1e:1730Mhz/106W
08:49:18  0b:1730Mhz/110W  0e:1730Mhz/130W  1b:1730Mhz/127W  1e:1730Mhz/107W
08:49:23  0b:1000Mhz/38W  0e:1730Mhz/38W  1b:1730Mhz/185W  1e:1730Mhz/188W
08:49:28  0b:1730Mhz/185W  0e:1730Mhz/216W  1b:1730Mhz/134W  1e:1730Mhz/185W
08:49:33  0b:1730Mhz/185W  0e:1730Mhz/194W  1b:1730Mhz/200W  1e:1730Mhz/190W
08:49:38  0b:1730Mhz/160W  0e:1730Mhz/164W  1b:1730Mhz/193W  1e:1730Mhz/191W
08:49:43  0b:1730Mhz/147W  0e:1730Mhz/141W  1b:1730Mhz/115W  1e:1730Mhz/140W
08:49:48  0b:1730Mhz/132W  0e:1730Mhz/155W  1b:1730Mhz/136W  1e:1730Mhz/105W
08:49:53  0b:1730Mhz/116W  0e:1730Mhz/158W  1b:1730Mhz/127W  1e:1730Mhz/119W
08:49:58  0b:1730Mhz/81W  0e:1730Mhz/156W  1b:1730Mhz/138W  1e:1730Mhz/113W
08:50:03  0b:1730Mhz/196W  0e:1730Mhz/193W  1b:1730Mhz/141W  1e:1730Mhz/186W
08:50:08  0b:1730Mhz/177W  0e:1730Mhz/155W  1b:1730Mhz/200W  1e:1730Mhz/189W
08:50:13  0b:1730Mhz/193W  0e:1674Mhz/197W  1b:1730Mhz/202W  1e:1730Mhz/185W
08:50:18  0b:1730Mhz/177W  0e:1674Mhz/196W  1b:1730Mhz/195W  1e:1730Mhz/190W
08:50:23  0b:1730Mhz/125W  0e:1730Mhz/144W  1b:1730Mhz/110W  1e:1730Mhz/127W
08:50:28  0b:1730Mhz/65W  0e:1730Mhz/152W  1b:1730Mhz/125W  1e:1730Mhz/113W
08:50:33  0b:1730Mhz/136W  0e:1730Mhz/123W  1b:1730Mhz/150W  1e:1730Mhz/137W
08:50:39  0b:1730Mhz/142W  0e:1730Mhz/156W  1b:1730Mhz/118W  1e:1730Mhz/142W
08:50:44  0b:1730Mhz/44W  0e:1730Mhz/42W  1b:1730Mhz/42W  1e:1730Mhz/45W
08:50:49  0b:1000Mhz/39W  0e:1000Mhz/39W  1b:1730Mhz/44W  1e:1730Mhz/45W
08:50:54  0b:1000Mhz/34W  0e:1000Mhz/35W  1b:1000Mhz/33W  1e:1000Mhz/35W
08:50:59  0b:1000Mhz/34W  0e:1000Mhz/35W  1b:1000Mhz/33W  1e:1000Mhz/34W
08:51:04  0b:1730Mhz/164W  0e:1730Mhz/170W  1b:1730Mhz/160W  1e:1730Mhz/159W
08:51:09  0b:1730Mhz/184W  0e:1540Mhz/181W  1b:1730Mhz/195W  1e:1730Mhz/184W
08:51:14  0b:1730Mhz/134W  0e:1730Mhz/171W  1b:1730Mhz/159W  1e:1730Mhz/129W
08:51:19  0b:1730Mhz/190W  0e:1674Mhz/194W  1b:1730Mhz/223W  1e:1730Mhz/159W
08:51:24  0b:1730Mhz/193W  0e:1674Mhz/195W  1b:1730Mhz/199W  1e:1730Mhz/188W
08:51:29  0b:1730Mhz/191W  0e:1730Mhz/201W  1b:1730Mhz/123W  1e:1730Mhz/222W
08:51:34  0b:1730Mhz/167W  0e:1730Mhz/179W  1b:1730Mhz/191W  1e:1730Mhz/186W
08:51:39  0b:1730Mhz/189W  0e:1730Mhz/204W  1b:1730Mhz/191W  1e:1730Mhz/163W
08:51:44  0b:1730Mhz/187W  0e:1674Mhz/196W  1b:1730Mhz/174W  1e:1730Mhz/182W
08:51:49  0b:1730Mhz/191W  0e:1674Mhz/204W  1b:1730Mhz/197W  1e:1730Mhz/166W
08:51:54  0b:1730Mhz/175W  0e:1608Mhz/193W  1b:1730Mhz/198W  1e:1730Mhz/193W
08:51:59  0b:1730Mhz/167W  0e:1730Mhz/202W  1b:1730Mhz/202W  1e:1730Mhz/182W
08:52:04  0b:1730Mhz/194W  0e:1730Mhz/199W  1b:1608Mhz/193W  1e:1730Mhz/182W
08:52:09  0b:1730Mhz/185W  0e:1730Mhz/209W  1b:1730Mhz/201W  1e:1730Mhz/192W
08:52:14  0b:1730Mhz/192W  0e:1730Mhz/204W  1b:1730Mhz/198W  1e:1730Mhz/189W
08:52:19  0b:1608Mhz/194W  0e:1730Mhz/205W  1b:1730Mhz/205W  1e:1730Mhz/158W
08:52:24  0b:1730Mhz/191W  0e:1674Mhz/201W  1b:1730Mhz/174W  1e:1730Mhz/182W
